epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,2262.39,1.03673,1.20042,0.8874,1.29582,0.58658,0.49157,0.54438,0.33678,0.56525,0.48354,0.51637,0.24159,1.4135,1.4225,1.23499,1.62357,9.0797e-05,9.0797e-05,9.0797e-05
92,2286.09,1.04115,1.18894,0.86315,1.30538,0.62567,0.49373,0.54075,0.34108,0.59923,0.48565,0.51993,0.24649,1.39145,1.40187,1.23108,1.59282,8.25503e-05,8.25503e-05,8.25503e-05
93,2309.76,1.00386,1.14655,0.80863,1.26649,0.61224,0.49106,0.53447,0.33763,0.6045,0.48377,0.51184,0.24622,1.38883,1.41037,1.23116,1.58927,7.43036e-05,7.43036e-05,7.43036e-05
94,2333.95,1.02117,1.20578,0.85096,1.29009,0.59958,0.50159,0.53026,0.33156,0.59193,0.49272,0.51736,0.24395,1.38905,1.40173,1.22088,1.61272,6.60569e-05,6.60569e-05,6.60569e-05
95,2357.72,1.00956,1.15976,0.81178,1.27323,0.58435,0.50404,0.54091,0.33892,0.58872,0.4935,0.52791,0.24992,1.38967,1.39852,1.21475,1.60644,5.78102e-05,5.78102e-05,5.78102e-05
96,2382.52,0.98172,1.12998,0.79666,1.24932,0.61248,0.50418,0.54122,0.34012,0.61365,0.49184,0.52497,0.24542,1.38895,1.4055,1.21184,1.60992,4.95635e-05,4.95635e-05,4.95635e-05
97,2406.43,0.96983,1.15201,0.79251,1.24333,0.63611,0.49021,0.54845,0.34517,0.63104,0.47707,0.52733,0.24726,1.3861,1.39715,1.19449,1.60108,4.13168e-05,4.13168e-05,4.13168e-05
98,2430.14,0.98387,1.15205,0.79167,1.24639,0.63506,0.48647,0.544,0.34333,0.63298,0.48615,0.52846,0.24855,1.39795,1.3861,1.19669,1.61706,3.30701e-05,3.30701e-05,3.30701e-05
99,2453.92,0.9693,1.14479,0.77031,1.23798,0.61442,0.49277,0.53731,0.33802,0.60635,0.48684,0.51876,0.24571,1.3963,1.39916,1.20186,1.61929,2.48234e-05,2.48234e-05,2.48234e-05
100,2477.1,0.9795,1.1606,0.77538,1.25398,0.62062,0.49779,0.5401,0.34094,0.61655,0.49356,0.52255,0.24673,1.39747,1.40174,1.19976,1.62598,1.65767e-05,1.65767e-05,1.65767e-05
